,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
3395,Globus Stores,3.7,Retail,501-1k Employees,Data missing,25 years old,Mumbai +29 more,Skill Development / Learning,Promotions / Appraisal
3396,Shaily Engineering Plastics,3.9,Industrial Machinery,501-1k Employees,Public,43 years old,Vadodara/Baroda +6 more,Data missing,Data missing
3397,ecare India,3.5,BPO,1k-5k Employees,Data missing,23 years old,Chennai +5 more,Data missing,Salary & Benefits
3398,MTR Foods,4.1,Food Processing,1k-5k Employees,Forbes Global 2000,99 years old,Bangalore/Bengaluru +29 more,"Work Life Balance, Job Security, Company Culture",Data missing
3399,NTPC GE Power Services,3.5,Oil & Gas,51-200 Employees,Data missing,24 years old,Noida +16 more,Data missing,Data missing
3400,Diverse Lynx,3.8,IT Services & Consulting,51-200 Employees,Data missing,21 years old,Princeton +11 more,Data missing,Data missing
3401,Yakult Danone India,3.7,Food Processing,201-500 Employees,Data missing,18 years old,New Delhi +20 more,Job Security,Data missing
3402,Moon Beverages,3.8,Beverage,51-200 Employees,Public,36 years old,New Delhi +12 more,Data missing,Data missing
3403,Sterling Hospitals,4,Healthcare,1k-5k Employees,Public,22 years old,Ahmedabad +12 more,"Work Life Balance, Skill Development / Learning",Data missing
3404,Creative Hands HR Consultancy,3.9,Recruitment,51-200 Employees (Global),Data missing,11 years old,Chennai +36 more,"Job Security, Work Satisfaction, Skill Development / Learning",Data missing
3405,DEC Infra,3.5,Real Estate,201-500 Employees,Data missing,55 years old,Hyderabad +18 more,Data missing,Data missing
3406,Classcanyon,4.6,Education & Training,51-200 Employees,Startup,2 years old,Greater Noida +4 more,"Skill Development / Learning, Promotions / Appraisal, Work Life Balance",Data missing
3407,Annalect,4,Marketing & Advertising,1k-5k Employees,Data missing,13 years old,New York +9 more,"Job Security, Work Life Balance, Company Culture",Data missing
3408,RA Chem Pharma,3.8,Pharma,1k-5k Employees,Data missing,27 years old,Hyderabad/Secunderabad +13 more,Job Security,Data missing
3409,Oil India,4.3,Oil & Gas,5k-10k Employees,Fortune India 500,64 years old,Noida +29 more,"Work Life Balance, Company Culture, Skill Development / Learning",Data missing
3410,Network 18,3.6,Media & Entertainment,501-1k Employees,Data missing,30 years old,Mumbai +21 more,Data missing,Data missing
3411,Jindal Power,3.9,Metals & Mining,5k-10k Employees,Public,16 years old,New Delhi +18 more,"Job Security, Skill Development / Learning",Data missing
3412,QDegrees,3.6,Management Consulting,501-1k Employees,Data missing,10 years old,Jaipur +26 more,Data missing,Data missing
3413,ESIC HOSPITAL,3.8,Healthcare,201-500 Employees,Data missing,71 years old,Delhi/NCR +38 more,Work Life Balance,Data missing
3414,Recipharm Pharmaservices,3.9,Pharma,11-50 Employees,Data missing,28 years old,Stockholm +6 more,Skill Development / Learning,Data missing
3415,Petrofac Engineering India,4,Petrochemicals,1k-5k Employees,Data missing,20 years old,London +11 more,Skill Development / Learning,Data missing
3416,Bony Polymers,3.9,Auto Components,201-500 Employees,Data missing,42 years old,Faridabad +12 more,Data missing,Data missing
3417,Unibic Foods,4,Food Processing,501-1k Employees,Data missing,19 years old,Bangalore +40 more,"Salary & Benefits, Work Life Balance",Data missing
3418,Sonata Finance,3.8,Financial Services,51-200 Employees,Data missing,28 years old,Allahabad/Prayagraj +53 more,"Company Culture, Job Security, Work Life Balance",Data missing
3419,IB Group,3.9,Food Processing,10k-50k Employees,Data missing,38 years old,Rajnandgaon +45 more,Skill Development / Learning,Data missing
3420,CES,3.9,IT Services & Consulting,1k-5k Employees,Public,27 years old,Bolingbrook +12 more,"Work Life Balance, Company Culture, Work Satisfaction",Data missing
3421,MosChip Technologies,4.3,Semiconductors,1k-5k Employees,Public,24 years old,Hyderabad +2 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
3422,Abbott Nutrition International,4.1,Pharma,11-50 Employees,Data missing,113 years old,Chicago +45 more,"Skill Development / Learning, Company Culture, Job Security",Data missing
3423,Micro Plastics,3.7,Petrochemicals,501-1k Employees,Data missing,18 years old,Bengaluru/Bangalore +10 more,Data missing,Data missing
3424,Coolberg Beverages,3.5,Beverage,201-500 Employees,Data missing,7 years old,Mumbai +32 more,Data missing,Data missing
3425,Bellsonica Auto Component,3.9,Auto Components,201-500 Employees,Data missing,67 years old,Gurgaon/Gurugram +7 more,Work Life Balance,Data missing
3426,Škoda Auto India,4.3,Automobile,1k-5k Employees,Conglomerate,22 years old,Aurangabad +30 more,"Work Life Balance, Company Culture, Work Satisfaction",Data missing
3427,H&R Block,4.3,IT Services & Consulting,501-1k Employees,Data missing,68 years old,Kansas City +8 more,"Work Life Balance, Company Culture, Job Security",Data missing
3428,IIT Madras,4.3,Education & Training,1k-5k Employees,Data missing,64 years old,Chennai +8 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Data missing
3429,Sir Ganga Ram Hospital,4.3,Healthcare,201-500 Employees,Data missing,69 years old,Delhi/NCR +11 more,"Skill Development / Learning, Work Satisfaction, Company Culture",Data missing
3430,TNT Express,4.3,Logistics,501-1k Employees,Data missing,77 years old,Hoofddorp +33 more,"Company Culture, Skill Development / Learning, Work Satisfaction",Data missing
3431,Superhouse,3.6,Leather,501-1k Employees,Public,17 years old,Unnao +10 more,Data missing,Promotions / Appraisal
3432,British Biologicals,3.1,Fitness & Wellness,501-1k Employees,Data missing,35 years old,Bangalore/Bengaluru +38 more,Data missing,"Promotions / Appraisal, Work Satisfaction, Job Security"
3433,Festo,4,Industrial Automation,501-1k Employees,Data missing,37 years old,Ludhiana +17 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
3434,Bal Pharma,3.5,Pharma,1k-5k Employees,Public,36 years old,Bangalore/Bengaluru +19 more,Data missing,Salary & Benefits
3435,Prolifics Corporation,3.6,IT Services & Consulting,1k-5k Employees,Data missing,45 years old,Orlando +6 more,Data missing,Salary & Benefits
3436,BG Artist,4.1,Metals & Mining,11-50 Employees (Global),Data missing,Data missing,Pune +16 more,"Job Security, Work Life Balance, Salary & Benefits",Data missing
3437,MRF Vapocure Paints,3.8,Chemicals,51-200 Employees,Data missing,34 years old,Chennai +56 more,Data missing,Data missing
3438,Foundit,3.6,Data missing,Data missing,Data missing,Data missing,Hyderabad/Secunderabad +14 more,Data missing,Data missing
3439,Cameo Corporate Services,3.3,BPO,1k-5k Employees,Data missing,38 years old,Chennai +13 more,Data missing,"Salary & Benefits, Promotions / Appraisal"
3440,American Tower Corporation,3.8,Telecom,501-1k Employees,Forbes Global 2000,28 years old,Boston +36 more,Company Culture,Data missing
3441,S.c Johnson Products,4,FMCG,501-1k Employees,Data missing,137 years old,Racine +44 more,"Salary & Benefits, Work Life Balance, Company Culture",Data missing
3442,GKC Projects,4.1,Engineering & Construction,501-1k Employees,Data missing,27 years old,Hyderabad/Secunderabad +26 more,"Skill Development / Learning, Work Life Balance, Company Culture",Data missing
3443,Wishfin,4.2,Financial Services,501-1k Employees,Data missing,7 years old,Noida +10 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Data missing
3444,Futwork,4.2,Internet,Data missing,Startup,7 years old,Mumbai +8 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
3445,Nuance Transcription Services,4.1,IT Services & Consulting,1k-5k Employees,Data missing,24 years old,Burlington +9 more,"Salary & Benefits, Work Life Balance, Company Culture",Data missing
3446,Hitachi Consulting,4.1,IT Services & Consulting,1k-5k Employees,Data missing,23 years old,Dallas +10 more,"Work Life Balance, Company Culture, Job Security",Data missing
3447,Mobius Knowledge Services,3.6,Printing & Publishing,1k-5k Employees,Data missing,21 years old,Chennai +2 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
3448,Orchid Chemicals & Pharmaceuticals,3.7,Pharma,1k-5k Employees,Data missing,31 years old,Chennai +22 more,"Skill Development / Learning, Job Security, Work Satisfaction",Salary & Benefits
3449,Lipi Data Systems,3.8,Other,1k-5k Employees,Data missing,30 years old,Mumbai +42 more,"Work Life Balance, Job Security",Data missing
3450,Data-Core Systems,3.2,IT Services & Consulting,201-500 Employees,Data missing,35 years old,Bristol +7 more,Data missing,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
3451,Bhavani Industries,3.6,Industrial Machinery,201-500 Employees (Global),Data missing,36 years old,Bangalore/Bengaluru +12 more,Data missing,Data missing
3452,Navata Road Transport,3.7,Logistics,1k-5k Employees,Data missing,41 years old,Vijayawada +27 more,Data missing,Data missing
3453,Sequel Logistics,4,Logistics,501-1k Employees,Data missing,19 years old,Bangalore/Bengaluru +35 more,Job Security,Data missing
3454,Madhucon Projects,3.1,Engineering & Construction,1k-5k Employees,Public,40 years old,Hyderabad/Secunderabad +28 more,Data missing,"Promotions / Appraisal, Company Culture, Job Security"
3455,Shyam Indus Power Solutions,3.8,Power,1k-5k Employees,Data missing,19 years old,Delhi/NCR +24 more,Skill Development / Learning,Data missing
3456,CSC Global,3.6,Financial Services,1k-5k Employees,Data missing,124 years old,Delaware +6 more,Data missing,Promotions / Appraisal
3457,ZIM Laboratories,3.6,Pharma,1k-5k Employees,Public,39 years old,Nagpur +7 more,Data missing,Data missing
3458,ABCD,3.8,Education & Training,201-500 Employees,Data missing,Data missing,Brooklyn +33 more,Data missing,Data missing
3459,Su-Kam Power Systems,3.8,Power,501-1k Employees,Data missing,35 years old,Gurgaon/Gurugram +42 more,Data missing,Data missing
3460,MNC Group,4.2,Investment Banking / Venture Capital / Private Equity,1 Lakh+ Employees (Global),Data missing,34 years old,Jakarta +38 more,"Salary & Benefits, Company Culture, Skill Development / Learning",Data missing
3461,Weddingz.in,3.1,Internet,501-1k Employees,Startup,8 years old,Mumbai +29 more,Data missing,"Job Security, Promotions / Appraisal, Work Satisfaction"
3462,Epsilon Carbon,3.8,Chemicals,501-1k Employees,Data missing,13 years old,Mumbai +11 more,Salary & Benefits,Data missing
3463,Bharat Institutions,3.9,Education & Training,201-500 Employees,Data missing,22 years old,Hyderabad/Secunderabad +6 more,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",Data missing
3464,Minda Kosei Aluminum Wheel,4,Auto Components,501-1k Employees,Data missing,8 years old,Bawal +10 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
3465,Columbia Petro Chem,4,Oil & Gas,51-200 Employees,Data missing,63 years old,Mumbai +10 more,"Salary & Benefits, Work Life Balance, Work Satisfaction",Data missing
3466,EVRY India,3.8,IT Services & Consulting,1k-5k Employees,Data missing,55 years old,Bangalore/Bengaluru +3 more,"Job Security, Work Life Balance",Data missing
3467,S Chand Group,4,Education & Training,1k-5k Employees,Public,84 years old,New Delhi +30 more,"Work Life Balance, Job Security, Work Satisfaction",Data missing
3468,Biz 2 Credit Info Services,4,Financial Services,201-500 Employees,Data missing,16 years old,New York +3 more,"Job Security, Work Life Balance, Salary & Benefits",Data missing
3469,Verifacts Services,3.7,Recruitment,51-200 Employees,Data missing,19 years old,Bengaluru +7 more,Data missing,Data missing
3470,Arya Omnitalk,4.2,Electronics Manufacturing,501-1k Employees,Data missing,Data missing,Pune +37 more,"Job Security, Company Culture, Work Life Balance",Data missing
3471,Imperative Business Ventures,4.4,IT Services & Consulting,501-1k Employees,Data missing,12 years old,Mumbai +5 more,"Company Culture, Skill Development / Learning, Job Security",Data missing
3472,Metawallah,4.9,Internet,51-200 Employees,Startup,2 years old,Gurgaon/Gurugram +13 more,"Salary & Benefits, Work Life Balance, Company Culture",Data missing
3473,Path Infotech,4,IT Services & Consulting,201-500 Employees,Data missing,32 years old,Noida +7 more,"Company Culture, Job Security, Work Life Balance",Data missing
3474,Country Club India,3.7,Hospitality,5k-10k Employees,Data missing,38 years old,Hyderabad/Secunderabad +25 more,Data missing,Data missing
3475,KrazyBee,3.8,Internet,51-200 Employees,Startup,7 years old,Bangalore +11 more,Data missing,Data missing
3476,AgreeYa Solutions,3.4,Software Product,501-1k Employees,Data missing,24 years old,Folsom +8 more,Data missing,Data missing
3477,Mindteck,3.4,IT Services & Consulting,501-1k Employees,Data missing,32 years old,Bangalore/Bengaluru +8 more,Data missing,Promotions / Appraisal
3478,Symphony,4,Consumer Electronics & Appliances,201-500 Employees,Public,35 years old,Palo Alto +52 more,"Work Life Balance, Company Culture, Work Satisfaction",Data missing
3479,Big C,4,Data missing,1k-5k Employees,Data missing,21 years old,Hyderabad/Secunderabad +41 more,Skill Development / Learning,Data missing
3480,Hughes Systique Corporation,3.9,IT Services & Consulting,501-1k Employees,Data missing,18 years old,Rockville +3 more,"Job Security, Company Culture, Work Life Balance",Data missing
3481,Hicare Services,3.7,Data missing,501-1k Employees,Data missing,20 years old,Mumbai +24 more,Data missing,Data missing
3482,TMEIC,4,Industrial Machinery,201-500 Employees,Data missing,20 years old,Tokyo +6 more,"Job Security, Work Life Balance, Company Culture",Data missing
3483,Hinduja Finance,4,NBFC,201-500 Employees,Data missing,15 years old,Mumbai +99 more,Work Life Balance,Data missing
3484,Pulse Pharmaceuticals,3.7,Pharma,1k-5k Employees,Data missing,26 years old,Hyderabad/Secunderabad +30 more,Data missing,Data missing
3485,BOB Financial Solutions,3.8,Financial Services,201-500 Employees,Public,29 years old,Mumbai +58 more,Data missing,Data missing
3486,Stellar Innovations,3.4,IT Services & Consulting,201-500 Employees,Data missing,7 years old,Dayton +7 more,Data missing,Data missing
3487,CityMall,3.2,Internet,1k-5k Employees,Startup,4 years old,Gurgaon +18 more,Data missing,"Job Security, Company Culture, Promotions / Appraisal"
3488,IndustryBuying.com,3.2,Import & Export,51-200 Employees,Startup,10 years old,Delhi +11 more,Data missing,"Job Security, Promotions / Appraisal, Work Satisfaction"
3489,Purplle.com,3.8,Beauty & Personal Care,201-500 Employees,Indian Unicorn,12 years old,Mumbai +14 more,Data missing,Data missing
3490,Samsung SDS,3.5,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,38 years old,Seoul +17 more,Work Life Balance,Data missing
3491,Volvo Trucks,4.2,Automobile,1k-5k Employees,Data missing,95 years old,Gothenburg +26 more,"Work Life Balance, Job Security, Company Culture",Data missing
3492,MindGate Solutions,3.3,IT Services & Consulting,501-1k Employees,Data missing,15 years old,Mumbai +6 more,Data missing,Work Life Balance
3493,Odessa,3.6,Software Product,1k-5k Employees,Data missing,25 years old,Philadelphia +2 more,"Job Security, Company Culture",Data missing
3494,Pitney Bowes,4.1,IT Services & Consulting,501-1k Employees,Data missing,103 years old,Stamford +11 more,"Work Life Balance, Salary & Benefits, Company Culture",Data missing
3495,Adani Gas,3.5,Oil & Gas,501-1k Employees,Public,19 years old,Ahmedabad +35 more,Job Security,Data missing
3496,Nippon Audiotronix,3.5,Automobile,501-1k Employees,Data missing,27 years old,Delhi/NCR +12 more,Data missing,Data missing
3497,SGT University,3.4,Education & Training,501-1k Employees,Data missing,10 years old,Gurgaon/Gurugram +4 more,Data missing,Data missing
3498,Al-Yamama Group,3.8,Engineering & Construction,51-200 Employees,Data missing,71 years old,Dammam +17 more,Data missing,Data missing
3499,Padmini VNA Mechatronics,4.2,Auto Components,501-1k Employees,Data missing,32 years old,Gurgaon/Gurugram +1 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Data missing
3500,Outworx Solutions,3.7,IT Services & Consulting,1k-5k Employees,Data missing,20 years old,San Jose +19 more,Data missing,Data missing
3501,Mitsubishi Elevators,4,Industrial Machinery,1k-5k Employees,Data missing,92 years old,Tokyo +21 more,"Job Security, Work Life Balance, Company Culture",Data missing
3502,B S R & Co Llp,3.4,Accounting & Auditing,5k-10k Employees,Data missing,Data missing,Mumbai +17 more,Job Security,"Work Life Balance, Work Satisfaction"
3503,Central Institute of Mining and Fuel Research,3.9,Education & Training,501-1k Employees,Data missing,16 years old,Dhanbad +12 more,Data missing,"Job Security, Promotions / Appraisal"
3504,Gaja Engineering,4.1,Engineering & Construction,201-500 Employees,Data missing,12 years old,Hyderabad +22 more,"Work Life Balance, Job Security, Company Culture",Data missing
3505,Al Ahleia Switchgear,3.4,Industrial Machinery,1k-5k Employees,Data missing,41 years old,Safat +11 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
3506,Universal Corporation,3.7,Pharma,1k-5k Employees,Data missing,24 years old,Kikuyu +33 more,Salary & Benefits,Data missing
3507,Rajiv Gandhi Cancer Institute & Research Centre,3.9,Healthcare,1k-5k Employees,Data missing,27 years old,Delhi/NCR +3 more,Data missing,Data missing
3508,Connectwise India,3.9,IT Services & Consulting,1k-5k Employees,Data missing,Data missing,Pune +4 more,"Company Culture, Work Life Balance, Job Security",Data missing
3509,Robosoft Technologies,3.7,IT Services & Consulting,1k-5k Employees,Data missing,27 years old,New Udupi +7 more,Data missing,Data missing
3510,Toshiba,4,Industrial Machinery,201-500 Employees,Forbes Global 2000,148 years old,Tokyo +26 more,"Work Life Balance, Job Security, Company Culture",Data missing
3511,Popular Vehicles and Services,4.2,Automobile,1k-5k Employees,Data missing,84 years old,Ernakulam +19 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
3512,Compunnel,4,IT Services & Consulting,501-1k Employees,Data missing,29 years old,Plainsboro Township +13 more,"Work Life Balance, Salary & Benefits, Company Culture",Data missing
3513,Samarth LifeSciences,3.4,Pharma,501-1k Employees,Data missing,60 years old,Mumbai +32 more,Data missing,Promotions / Appraisal
3514,NextGen Healthcare,3.5,IT Services & Consulting,501-1k Employees,Data missing,49 years old,Atlanta +8 more,Work Life Balance,Data missing
3515,Gi Group,3.6,Recruitment,51-200 Employees,Data missing,25 years old,Milan +37 more,Data missing,Data missing
3516,N Ranga Rao And Sons,4.1,FMCG,1k-5k Employees,Data missing,75 years old,Mysore/Mysuru +48 more,"Company Culture, Work Life Balance, Job Security",Data missing
3517,Zamil Air Conditioners,4.1,Consumer Electronics & Appliances,201-500 Employees,Data missing,49 years old,Dammam +19 more,"Job Security, Work Life Balance, Work Satisfaction",Data missing
3518,Drydocks World Dubai,4.2,Ports & Shipping,1k-5k Employees,Data missing,40 years old,Dubai +12 more,"Company Culture, Work Life Balance, Job Security",Data missing
3519,Namaste India Foods,3.9,Food Processing,11-50 Employees,Data missing,9 years old,Kanpur +20 more,Skill Development / Learning,Data missing
3520,Greentech Industries,3.9,Industrial Machinery,5k-10k Employees,Data missing,15 years old,Naidupet Mandal +7 more,"Company Culture, Job Security, Skill Development / Learning",Data missing
3521,Anand Rathi: Online Stock Trading & Advisory,3.9,Financial Services,1k-5k Employees,Data missing,29 years old,Mumbai +34 more,"Work Life Balance, Company Culture",Data missing
3522,AYN InfoTech,4.7,IT Services & Consulting,51-200 Employees,Public,14 years old,Bengaluru/Bangalore +12 more,"Work Life Balance, Work Satisfaction, Job Security",Data missing
3523,Honda India Power Products,4.3,Industrial Machinery,1k-5k Employees,Data missing,Data missing,Greater Noida +22 more,"Job Security, Work Life Balance, Company Culture",Data missing
3524,Maxicus,3.8,Data missing,51-200 Employees,Data missing,20 years old,Gurgaon +6 more,Job Security,Data missing
3525,MSCI,4,Financial Services,1k-5k Employees,Public,54 years old,New York City +8 more,"Salary & Benefits, Company Culture, Skill Development / Learning",Data missing
3526,Ratnamani Metals and Tubes,4.3,Building Material,1k-5k Employees,Public,40 years old,Ahmedabad +12 more,"Job Security, Work Life Balance, Company Culture",Data missing
3527,Aristocrat Technologies,4.1,Gaming,501-1k Employees,Data missing,70 years old,North Ryde +6 more,"Company Culture, Work Life Balance, Work Satisfaction",Data missing
3528,Microsense,3.6,IT Services & Consulting,201-500 Employees,Data missing,41 years old,Collegeville +26 more,Data missing,Data missing
3529,PrimeXBT,4.7,FinTech,11-50 Employees,Data missing,5 years old,London +5 more,"Job Security, Salary & Benefits, Work Life Balance",Data missing
3530,RWS Group,4,IT Services & Consulting,5k-10k Employees,Data missing,67 years old,Chalfont St Peter +10 more,"Company Culture, Work Life Balance, Job Security",Data missing
3531,Paradeep Phosphates,4.1,Agro Chemicals,501-1k Employees,Public,42 years old,Bhubaneswar +28 more,"Job Security, Work Life Balance",Data missing
3532,IMC,4,Ports & Shipping,501-1k Employees,Data missing,88 years old,Chennai +34 more,"Job Security, Work Life Balance",Data missing
3533,Indira Gandhi International Airport,4,Urban Transport,10k-50k Employees (Global),Public,61 years old,New Delhi +7 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
3534,Spectranet,3.9,Telecom,501-1k Employees,Data missing,23 years old,Gurgaon/Gurugram +11 more,Work Life Balance,Data missing
3535,Sistema Shyam Teleservices,4.8,Telecom,1k-5k Employees,Data missing,28 years old,Gurugram +42 more,"Work Life Balance, Work Satisfaction, Salary & Benefits",Data missing
3536,Amrita Institute of Medical Sciences and Research,3.9,Healthcare,5k-10k Employees,Data missing,25 years old,Kochi/Cochin +10 more,Skill Development / Learning,Data missing
3537,Veer-O-- Metals,4.2,Industrial Machinery,201-500 Employees,Data missing,58 years old,Bangalore/Bengaluru +4 more,"Skill Development / Learning, Company Culture, Job Security",Data missing
3538,The KCP,4.1,Building Material,1k-5k Employees,Public,82 years old,Chennai +15 more,"Skill Development / Learning, Job Security, Work Satisfaction",Data missing
3539,Prabhat Dairy,3.7,FMCG,201-500 Employees,Public,25 years old,Rahata +22 more,Skill Development / Learning,Data missing
3540,Brinton Pharmaceuticals,4.1,Pharma,201-500 Employees,Data missing,9 years old,Pune +28 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
3541,Dalmia-OCL,3.7,Building Material,501-1k Employees (Global),Data missing,7 years old,New Delhi +27 more,Job Security,Data missing
3542,Basicfirst Learning,3.4,EdTech,51-200 Employees,Data missing,5 years old,Bengaluru/Bangalore +25 more,Data missing,Data missing
3543,Mindfire Solutions,4.1,Software Product,501-1k Employees,Data missing,24 years old,Bhubaneswar +3 more,"Work Life Balance, Job Security, Company Culture",Data missing
3544,AISECT,3.9,Education & Training,5k-10k Employees,Data missing,38 years old,Bhopal +45 more,"Work Life Balance, Company Culture, Skill Development / Learning",Data missing
3545,Polyplex,4.3,Packaging,501-1k Employees,Public,39 years old,Noida +11 more,"Job Security, Work Life Balance, Company Culture",Data missing
3546,Mitsui O.S.K. Lines,4,Ports & Shipping,51-200 Employees,Forbes Global 2000,139 years old,Toranomon +9 more,"Job Security, Work Life Balance, Company Culture",Data missing
3547,Gold's Gym,4.1,Fitness & Wellness,1-10 Employees,Data missing,58 years old,Dallas +48 more,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Data missing
3548,SHV Energy,3.8,Oil & Gas,201-500 Employees,Data missing,27 years old,Hoofddorp +25 more,"Company Culture, Job Security, Skill Development / Learning",Data missing
3549,Indo German Tool Room,3.9,Government,51-200 Employees,Data missing,28 years old,Ahmedabad +13 more,"Skill Development / Learning, Work Satisfaction",Data missing
3550,The Professional Couriers,3.7,Logistics,1k-5k Employees,Data missing,37 years old,Navi Mumbai +51 more,Data missing,Data missing
3551,Jain University,3.7,Education & Training,1k-5k Employees,Data missing,14 years old,Bangalore +7 more,Data missing,Data missing
3552,GMR Energy,4.4,Power,1k-5k Employees,Public,27 years old,Delhi +23 more,"Job Security, Skill Development / Learning, Work Satisfaction",Data missing
3553,Plada Infotech Services,3.5,IT Services & Consulting,11-50 Employees,Data missing,13 years old,Mumbai +37 more,Data missing,Data missing
3554,Hyundai Heavy Industries,3.9,Data missing,201-500 Employees,Public,51 years old,Ulsan +20 more,Job Security,Data missing
3555,Cyber Infrastructure,3.4,IT Services & Consulting,501-1k Employees,Data missing,20 years old,San Jose +2 more,Data missing,Data missing
3556,Thermax Babcock Wilcox Energy Solutions,4.1,Oil & Gas,51-200 Employees,Data missing,13 years old,Pune +18 more,"Job Security, Company Culture, Work Life Balance",Data missing
3557,Casio India Company,2.7,Consumer Electronics & Appliances,501-1k Employees,Data missing,27 years old,Delhi/NCR +22 more,Data missing,"Promotions / Appraisal, Skill Development / Learning, Job Security"
3558,Kyndal India,3.8,Data missing,51-200 Employees,Data missing,21 years old,Gurgaon +11 more,"Work Life Balance, Job Security, Skill Development / Learning",Data missing
3559,Uniinfo Telecom Services,3.9,Telecom,201-500 Employees,Public,13 years old,Indore +29 more,Data missing,Data missing
3560,Hinduja Group,4.1,Automobile,1 Lakh+ Employees,Public,14 years old,Mumbai +50 more,"Work Life Balance, Company Culture, Work Satisfaction",Data missing
3561,Europa Locks,3.4,Industrial Machinery,51-200 Employees,Data missing,39 years old,Pune +19 more,Data missing,Data missing
3562,Teachmint,3.5,EdTech,501-1k Employees,Startup,3 years old,Bengaluru/Bangalore +19 more,Salary & Benefits,Job Security
3563,Motherson Sumi Wiring,3.9,Building Material,Data missing,Fortune India 500,Data missing,Noida +19 more,Job Security,Data missing
3564,Freecharge,3.8,FinTech,501-1k Employees,Conglomerate,13 years old,Gurgaon +21 more,"Work Life Balance, Company Culture, Work Satisfaction",Data missing
3565,Uae Exchange & Financial Services,3.7,FinTech,501-1k Employees,Data missing,43 years old,Abu Dhabi +66 more,Data missing,Data missing
3566,Satguru Travels and Tour Services,3.1,Travel & Tourism,201-500 Employees,Data missing,34 years old,Dubai +27 more,Data missing,"Promotions / Appraisal, Salary & Benefits, Company Culture"
3567,Vyom Labs,3.3,IT Services & Consulting,501-1k Employees,Data missing,20 years old,Pune +7 more,Data missing,Salary & Benefits
3568,Paperchase Accountancy,3.3,Data missing,1k-5k Employees,Data missing,34 years old,New York +3 more,Data missing,Data missing
3569,Alchem International,3.9,Pharma,201-500 Employees,Data missing,88 years old,Gurgaon/Gurugram +20 more,Salary & Benefits,Data missing
3570,KJS Cement,3.7,Building Material,1k-5k Employees,Data missing,11 years old,Satna +26 more,Data missing,Data missing
3571,Securens System,4,Law Enforcement & Security,201-500 Employees,Startup,11 years old,Mumbai +31 more,Data missing,Data missing
3572,MEDOPHARM,3.5,Pharma,1k-5k Employees,Data missing,53 years old,Chennai +16 more,Data missing,"Promotions / Appraisal, Salary & Benefits, Company Culture"
3573,Sterling Talent Solutions,3.8,Internet,1k-5k Employees,Data missing,48 years old,Bothell +2 more,Data missing,Data missing
3574,Ebix Payment Services,3.6,Financial Services,1k-5k Employees,Data missing,Data missing,Noida +39 more,Data missing,Data missing
3575,SirionLabs,3.2,IT Services & Consulting,501-1k Employees,Startup,11 years old,Bellevue +4 more,Data missing,"Job Security, Promotions / Appraisal, Work Satisfaction"
3576,Arabtec Construction,4.5,Engineering & Construction,201-500 Employees,Data missing,48 years old,Dubai +13 more,"Company Culture, Work Satisfaction, Skill Development / Learning",Data missing
3577,Creamline Dairy Products,4.2,Food Processing,501-1k Employees,Data missing,37 years old,Hyderabad/Secunderabad +21 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
3578,The Sparks Foundation,4.3,Education & Training,5k-10k Employees,Data missing,7 years old,Singapore +15 more,"Work Life Balance, Skill Development / Learning, Company Culture",Data missing
3579,Amentum,4.4,Defence & Aerospace,51-200 Employees,Data missing,Data missing,Bengaluru/Bangalore +22 more,"Work Life Balance, Skill Development / Learning, Company Culture",Data missing
3580,Talwalkars Better value Fitness,4,Fitness & Wellness,201-500 Employees,Public,91 years old,Mumbai +54 more,"Skill Development / Learning, Work Life Balance",Data missing
3581,Forbes & Company,4.1,Engineering & Construction,501-1k Employees,Fortune India 500,258 years old,Mumbai +16 more,"Job Security, Work Life Balance, Company Culture",Data missing
3582,Kangaro Industries,3.7,FMCG,501-1k Employees,Data missing,29 years old,Ludhiana +16 more,"Job Security, Company Culture",Data missing
3583,Edureka,3.5,EdTech,501-1k Employees,Startup,12 years old,Bangalore +13 more,Data missing,Data missing
3584,Modi Mundi Pharma,3.9,Pharma,201-500 Employees,Data missing,33 years old,Delhi/NCR +34 more,"Work Life Balance, Company Culture, Skill Development / Learning",Data missing
3585,Plasser India,4,Industrial Machinery,501-1k Employees,Data missing,58 years old,Faridabad +7 more,Salary & Benefits,Data missing
